Titre,Réalisateur,Scénariste,Compositeur,Directeur photo,Directeur montage,Acteur 1,Acteur 2,Acteur 3,Genre,Popularité genre,Popularité thème,Rareté émotion,Référence,Budget (M$),Box Office (M$),Rentabilité (%),Succès
The Hurt Locker,Kathryn Bigelow,Mark Boal,Marco Beltrami,Barry Ackroyd,Bob Murawski,Jeremy Renner,Anthony Mackie,Ralph Fiennes,Guerre,2,1,2,2,11,49.2,347.2727273,2
Avatar,James Cameron,James Cameron,James Horner,Mauro Fiore,James Cameron,Sam Worshington,Zoe Saldana,Sigourney Weaver,SF,3,2,3,1,425,2790,556.4705882,2
The King's Speech,Tom Hooper,David Seidler,Alexandre Desplat,Danny Cohen,Tariq Anwar,Colin Firfth,Geodffrey Rush,Helena Bonham Carter,Drame,1,1,2,2,10,414,4040,2
Inception,Christopher Nolan,Christopher Nolan,Hans Zimmer,Wally Pfister,Lee Smith,Leonardo DiCaprio,Ellen Page,Marion Cotillard,SF,3,2,3,0,160,825,415.625,2
The Social Network,David Fincher,Aaron Sorkin,Trent Reznor,Jeff Cronenweth,Kirk Baxter,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Biopic,2,1,2,1,40,224,460,2
Midnight in Paris,Woody Allen,Woody Allen,Stéphane Wrembel,Darius Khondji,Alisa Lepselter,Owen Wilson,Marion Cotillard,Rachel McAdams,Comédie,3,0,1,0,30,151,403.3333333,2
The Artist,Michel Hazanavicius,Michel Hazanavicius,Ludovic Bource,Guillaume Schiffman,Michel Hazanavicius,Jean Dujardin,Bérénice Bejo,James Cromwell,Comédie,3,1,2,1,12,133,1008.333333,2
Hugo Cabret,Martin Scorsese,John Logan,Howard Shore,Robert Richardson,Thelma Schoonmaker,Asa Butrerfield,Chloë Grace Moretz,Ben Kingsley,Fantastique,2,0,0,0,160,186,16.25,1
The Girl with the Dragon Tatto,David Fincher,Steven Zaillian,Trent Reznor,Jeff Cronenweth,Kirk Baxter,Daniel Craig,Rooney Mara,Stellan Skarsgård,Thriller,3,1,2,2,90,232,157.7777778,2
Django Unchained,Quentin Tarantino,Quentin Tarantino,Ennio Morricone,Robert Richardson,Fred Raskin,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Western,1,2,3,1,100,425.4,325.4,2
Life of Pi,Ang Lee,David Magee,Mychael Danna,Claudio Miranda,Tim Squyres,Suraj Sharma,Irrfan Khan,Ayush Tandon,Aventure,3,2,3,1,100,609,509,2
Argo,Ben Affleck,Chris Terrio,Alexandre Desplat,Rodrigo Prieto,William Goldenberg,Ben Affleck,Bryan Cranston,John Goodman,Thriller,3,0,1,1,44.5,232.3,422.0224719,2
Her,Spike Jonze,Spike Jonze,Arcade Fire,Hoyte Van Hoytema,Jeff Buchanan,Joaquin Phoenix,Scarlett Johansson,Amy Adams,SF,3,1,2,1,23,48.3,110,2
Gravity,Alfonso Cuarón,Alfonso Cuarón,Steven Price,Emmanuel Lubezki,Alfonso Cuarón,Sandra Bullock,Georges Clooney,Ed Harris,SF,3,2,3,1,100,723.2,623.2,2
Gone Girl,David Fincher,Gillian Flynn,Trent Reznor,Jeff Cronenweth,Kirk Baxter,Ben Affleck,Rosamund Pike,Neil Patrick Harris,Thriller,3,2,3,1,61,369,504.9180328,2
Drive,Nicolas Winding Refn,Hossein Amini,Cliff Martinez,Newton Thomas Sigel,Matthew Newman,Ryan Gosling,Carey Mulligan,Bryan Cranston ,Thriller,3,2,3,0,16,81.4,408.75,2
Only God Forgives,Nicolas Winding Refn,Nicolas Winding Refn,Cliff Martinez,Larry Smith,Matthew Newman,Ryan Gosling,Kristin Scott Thomas,Vithaya Pansringarm,Thriller,3,2,3,1,3.6,10.6,194.4444444,2
Interstellar,Christopher Nolan,Christopher Nolan,Hans Zimmer,Hoyte Van Hoytema,Lee Smith,Matthew McConaughey,Anne Hathaway,Jessica Chastain,SF,3,2,3,0,165,677.5,310.6060606,2
Trance,Danny Boyle,Joe Ahearne,Rick Smith,Anthony Dod Mantle,Jon Harris,James McAvoy ,Rosario Dawson,Vincent Cassel,Thriller,3,0,0,0,20,24.2,21,1
127 hours,Danny Boyle,Danny Boyle,A.R. Rahman,Enrique Chediak,Jon Harris,James Franco,Clémence Poésy,Kate Mara,Drame,1,0,1,0,18,60.7,237.2222222,2
Incendies,Denis Villeneuve,Denis Villeneuve,Grégoire Hetzel,André Turpin,Monique Dartonne,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Drame,1,1,2,0,6.5,16,146.1538462,2
